WE12 at 20% dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,site,arrive,depart,lat,long,,,,,,,,,,,,,,,,,,,,,,
8/4/2014,WE12,12:48,13:17,41 42.157,83 15.781,,,,,,,,,,,,,,,,,,,,,,
Particle ID,Area (ABD),Area (Filled),Aspect Ratio,Ch1 Peak,Ch2 Peak,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Date,Diameter (ABD),Diameter (ESD),Edge Gradient,Elongation,Image File,Intensity,Length,Perimeter,Roughness,Symmetry,Time,Timestamp,Transparency,Volume (ABD),Volume (ESD),Width
1,2793.1,2793.1,0.78,215.44,205.91,0.96,0.76,0.79,0.94,1.27,8/5/2014,59.63,65.21,48.29,1,WE12at20%dilutionRepF_000001.tif,161.11,73.69,258.56,1.1,0.6,14:02:27,2014-08-05T18:02:27.481,0.09,1.11E+05,1.45E+05,58.2
2,10339.31,10339.31,0.76,215.44,205.91,0.96,0.72,0.74,0.95,1.34,8/5/2014,114.74,124.2,23.6,1.59,WE12at20%dilutionRepF_000001.tif,123.42,139.15,466.05,1.11,0.77,14:02:27,2014-08-05T18:02:27.481,0.08,7.91E+05,1.00E+06,106.13
3,1235.07,1235.07,0.44,215.44,205.91,0.96,0.52,0.73,0.71,1.38,8/5/2014,39.66,49.48,50.8,1.76,WE12at20%dilutionRepF_000001.tif,208.22,69.69,195.25,1.05,0.74,14:02:27,2014-08-05T18:02:27.481,0.2,3.27E+04,6.34E+04,22.17
4,1400.01,1400.01,0.95,215.44,205.91,0.96,0.94,1,1,1,8/5/2014,42.22,43.69,195.2,1,WE12at20%dilutionRepF_000001.tif,84.86,45.73,174.04,1.04,0.92,14:02:27,2014-08-05T18:02:27.481,0.03,3.94E+04,4.37E+04,39.91
5,2515.69,2515.69,0.48,149.7,119.38,0.8,0.53,0.78,0.78,1.28,8/5/2014,56.6,65.57,49.11,1.12,WE12at20%dilutionRepF_000001.tif,195.87,89.68,248.17,1.05,0.93,14:02:27,2014-08-05T18:02:27.542,0.14,9.49E+04,1.48E+05,37.85
6,2850.33,2850.33,0.7,149.7,119.38,0.8,0.73,0.89,0.93,1.12,8/5/2014,60.24,64.81,80.11,1,WE12at20%dilutionRepF_000001.tif,151.07,74.97,244.7,1.04,0.79,14:02:27,2014-08-05T18:02:27.542,0.07,1.14E+05,1.43E+05,50.54
7,3683.39,3683.39,0.07,313.75,307.63,0.98,0,0.15,0.12,6.73,8/5/2014,68.48,193.86,19.4,19.09,WE12at20%dilutionRepF_000001.tif,180.14,306.01,666.57,1.04,0.65,14:02:27,2014-08-05T18:02:27.729,0.65,1.68E+05,3.81E+06,19.22
8,25249.17,25249.17,0.7,313.75,307.63,0.98,0.52,0.49,0.87,2.05,8/5/2014,179.3,214.26,119.36,4.2,WE12at20%dilutionRepF_000001.tif,99.92,254.18,866.11,1.23,0.64,14:02:27,2014-08-05T18:02:27.729,0.16,3.02E+06,5.15E+06,169.31
9,1079.3,1079.3,0.63,156.63,123.68,0.79,0.72,0.87,0.89,1.15,8/5/2014,37.07,41.8,58.82,1,WE12at20%dilutionRepF_000001.tif,181.33,52.34,169.86,1.05,0.75,14:02:28,2014-08-05T18:02:28.302,0.11,2.67E+04,3.82E+04,28.09
10,1060.02,1060.02,0.79,156.63,123.68,0.79,0.77,0.84,0.92,1.19,8/5/2014,36.74,41.63,97.24,1,WE12at20%dilutionRepF_000001.tif,179.83,48.51,171.6,1.06,0.67,14:02:28,2014-08-05T18:02:28.302,0.12,2.60E+04,3.78E+04,34
11,11021.93,11021.93,0.47,156.63,123.68,0.79,0.31,0.67,0.72,1.49,8/5/2014,118.46,141.03,50.96,2.24,WE12at20%dilutionRepF_000001.tif,151.42,178.74,505.71,1.07,0.52,14:02:28,2014-08-05T18:02:28.302,0.16,8.70E+05,1.47E+06,84.26
12,9604.4,9604.4,0.49,92.98,0.75,0.01,0.38,0.67,0.75,1.5,8/5/2014,110.58,130.29,138.8,2.28,WE12at20%dilutionRepF_000001.tif,103.97,161.51,477.16,1.08,0.62,14:02:28,2014-08-05T18:02:28.774,0.15,7.08E+05,1.16E+06,81.31
13,7480.69,7480.69,0.9,193.34,0.75,0,0.87,0.86,0.99,1.16,8/5/2014,97.59,102.06,184.45,1,WE12at20%dilutionRepF_000001.tif,75.61,111.47,375.2,1.07,0.86,14:02:29,2014-08-05T18:02:29.084,0.04,4.87E+05,5.57E+05,93.13
14,1413.31,1413.31,0.98,193.34,0.75,0,0.95,0.98,1,1.02,8/5/2014,42.42,43.93,181.75,1,WE12at20%dilutionRepF_000001.tif,113.03,44.88,176.49,1.05,0.93,14:02:29,2014-08-05T18:02:29.084,0.03,4.00E+04,4.44E+04,41.92
15,913.86,913.86,0.57,433.26,435.83,1.01,0.6,0.68,0.78,1.48,8/5/2014,34.11,43.08,64.2,2.18,WE12at20%dilutionRepF_000001.tif,146.83,57.65,180.97,1.09,0.63,14:02:29,2014-08-05T18:02:29.470,0.21,2.08E+04,4.19E+04,25
16,1894.16,1894.16,0.84,433.26,435.83,1.01,0.88,0.99,0.99,1.01,8/5/2014,49.11,50.83,107.56,1,WE12at20%dilutionRepF_000001.tif,104.35,56.31,196.68,1.03,0.94,14:02:29,2014-08-05T18:02:29.470,0.03,6.20E+04,6.87E+04,42.87
