name,lat,lon
Detroit,42.333679,-83.050796
Windsor,42.315403,-83.040497
Monroe,41.916457,-83.398497
Rockwood,42.071851,-83.246405
Amherstburg,42.102222,-83.110001
Leamington,42.05304,-82.6036
Toledo,41.664122,-83.556103
Port Clinton,41.512171,-82.938922
Sandusky,41.449221,-82.708395
Lorain,41.452885,-82.182908
Cleveland,41.4988,-81.699337
Mentor,41.66611,-81.340658
Ashtabula,41.865661,-80.790357
Erie,42.129566,-80.085624
Port Stanley,42.666103,-81.217372
London,42.987318,-81.245187
Ann Arbor,42.281417,-83.743869
