station,station_depth,lon,lat,node
WE2,5.02619,-83.31911,41.75398,825
WE6,2.609877,-83.38335,41.70877,1208
WE8,4.25,-83.36364,41.83426,510
WE4,7.892405,-83.19445,41.82704,374
WE12,5.957143,-83.25825,41.70381,975
WE13,8.25,-83.13962,41.74148,583
WE25,NA,-83.239,41.937,163
DEEP,62.67799,-79.88593,42.51321,4930
DWE,11,-82.75043,41.88772,552
NDBC45005,NA,-82.398,41.677,1892
PBWI,3.333333,-82.81073,41.64545,1579
KIWI,4.22,-82.71081,41.59171,2027
WE1,4.3,-83.32625,41.8852,324
WE5,7.018519,-83.25588,41.80441,464
WE7,3.672414,-83.40259,41.76403,964
WE9,3.07931,-83.42348,41.71796,1419
WE3,6.693333,-83.26376,41.85952,328
SouthPass,6,-82.725265,41.571083,2075
WE14,9.8,-83.01478333,41.71773333,NA
WE15,4.8,-83.0124,41.61768333,NA
45176,48,-81.76528,41.55016,NA
